id,rank,name,position,school,pts,reb,ast,imputed,potential,risk,notes,avatar_url,source_url
tyler-tanner,34,Tyler Tanner,PG/SG,Vanderbilt,19.50,3.60,5.10,0,1.20,NBA Ready,Vanderbilt · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5187600.png,https://www.espn.com/mens-college-basketball/player/_/id/5187600/tyler-tanner
patrick-ngongba-ii,35,Patrick Ngongba II,C,Duke,10.10,5.80,2.00,0,1.20,NBA Ready,Duke · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4873209.png,https://www.espn.com/mens-college-basketball/player/_/id/4873209/patrick-ngongba-ii
joshua-jefferson,36,Joshua Jefferson,SF/PF,Iowa State,16.40,7.40,4.80,0,1.20,NBA Ready,Iowa State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4870564.png,https://www.espn.com/mens-college-basketball/player/_/id/4870564/joshua-jefferson
alex-karaban,37,Alex Karaban,SF/PF,UConn,13.20,5.30,2.40,0,1.19,NBA Ready,UConn · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4917149.png,https://www.espn.com/mens-college-basketball/player/_/id/4917149/alex-karaban
zuby-ejiofor,38,Zuby Ejiofor,PF/C,St. John's,16.30,7.30,3.50,0,1.19,NBA Ready,St. John's · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106262.png,https://www.espn.com/mens-college-basketball/player/_/id/5106262/zuby-ejiofor
ebuka-okorie,39,Ebuka Okorie,PG,Stanford,23.20,3.60,3.60,0,1.19,NBA Ready,Stanford · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5258459.png,https://www.espn.com/mens-college-basketball/player/_/id/5258459/ebuka-okorie
juke-harris,40,Juke Harris,SG,Wake Forest,21.40,6.50,1.90,0,1.19,NBA Ready,Wake Forest · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5142609.png,https://www.espn.com/mens-college-basketball/player/_/id/5142609/juke-harris
tounde-yessoufou,41,Tounde Yessoufou,SF,Baylor,17.80,5.90,1.60,0,1.18,NBA Ready,Baylor · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5095152.png,https://www.espn.com/mens-college-basketball/player/_/id/5095152/tounde-yessoufou
tarris-reed-jr,42,Tarris Reed Jr,C,UConn Huskies,14.70,9.00,2.30,0,1.18,NBA Ready,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105809.png,http://www.espn.com/mens-college-basketball/player/_/id/5105809/tarris-reed-jr
milan-momcilovic,43,Milan Momcilovic,PF,Iowa State,16.90,3.10,1.00,0,1.18,NBA Ready,Iowa State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4848637.png,http://www.espn.com/mens-college-basketball/player/_/id/4848637/milan-momcilovic
